unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1538870400,2018-10-07,XRP/USD,0.4902,0.4916,0.469,0.4801,733527.8429,352166.7174
1538784000,2018-10-06,XRP/USD,0.5175,0.5209,0.4645,0.4903,2050653.474,1005435.398
1538697600,2018-10-05,XRP/USD,0.527,0.5307,0.51,0.5202,819406.8497,426255.4432
1538611200,2018-10-04,XRP/USD,0.528,0.5513,0.5232,0.5237,923115.7389,483435.7125
1538524800,2018-10-03,XRP/USD,0.5161,0.5465,0.51,0.5245,1800865.417,944553.9113
1538438400,2018-10-02,XRP/USD,0.5789,0.5817,0.5155,0.5157,1910658.612,985326.6462
1538352000,2018-10-01,XRP/USD,0.5834,0.6068,0.538,0.5791,3370274.453,1951725.936
1538265600,2018-09-30,XRP/USD,0.5721,0.62,0.5584,0.5845,2761058.958,1613838.961
1538179200,2018-09-29,XRP/USD,0.5409,0.596,0.5284,0.5721,2240994.873,1282073.167
1538092800,2018-09-28,XRP/USD,0.5414,0.5492,0.52,0.5399,1862142.678,1005370.832
1538006400,2018-09-27,XRP/USD,0.5117,0.5538,0.5082,0.5441,2394892.662,1303061.097
1537920000,2018-09-26,XRP/USD,0.5282,0.57,0.4845,0.5118,5063858.523,2591682.792
1537833600,2018-09-25,XRP/USD,0.4922,0.5554,0.4344,0.528,4676143.346,2469003.687
1537747200,2018-09-24,XRP/USD,0.5672,0.5779,0.4851,0.4933,3279409.841,1617732.875
1537660800,2018-09-23,XRP/USD,0.5754,0.592,0.555,0.5701,2113004.622,1204623.935
1537574400,2018-09-22,XRP/USD,0.5648,0.62,0.49,0.5677,6021566.968,3418443.568
1537488000,2018-09-21,XRP/USD,0.449,0.7769,0.4209,0.5603,12737513.09,7136828.582
1537401600,2018-09-20,XRP/USD,0.3264,0.4897,0.311,0.4498,4972621.326,2236685.072
1537315200,2018-09-19,XRP/USD,0.32,0.335,0.31,0.3248,1827894.564,593700.1543
1537228800,2018-09-18,XRP/USD,0.2712,0.3333,0.2706,0.3208,2710328.237,869473.2983
1537142400,2018-09-17,XRP/USD,0.2815,0.283,0.268,0.2718,1100325.205,299068.3908
1537056000,2018-09-16,XRP/USD,0.2823,0.2832,0.275,0.2799,414336.3905,115972.7557
1536969600,2018-09-15,XRP/USD,0.2773,0.284,0.2747,0.2824,644550.7137,182021.1215
1536883200,2018-09-14,XRP/USD,0.2801,0.2852,0.2719,0.278,1189551.426,330695.2964
1536796800,2018-09-13,XRP/USD,0.2699,0.2857,0.2673,0.28,1538686.165,430832.1263
1536710400,2018-09-12,XRP/USD,0.2638,0.2724,0.254,0.2685,1213021.253,325696.2063
1536624000,2018-09-11,XRP/USD,0.2724,0.2749,0.2542,0.2616,1148527.095,300454.688
1536537600,2018-09-10,XRP/USD,0.278,0.2854,0.2636,0.2748,786136.0153,216030.177
1536451200,2018-09-09,XRP/USD,0.2787,0.292,0.2734,0.278,1021491.934,283974.7575
1536364800,2018-09-08,XRP/USD,0.289,0.2949,0.2704,0.2799,1108553.418,310284.1016
1536278400,2018-09-07,XRP/USD,0.3014,0.3049,0.283,0.288,1211124.973,348803.9923
1536192000,2018-09-06,XRP/USD,0.2789,0.306,0.2678,0.3009,2319945.954,698071.7377
1536105600,2018-09-05,XRP/USD,0.3285,0.3312,0.2766,0.2789,3333428.398,929693.1803
1536019200,2018-09-04,XRP/USD,0.3315,0.3349,0.326,0.3297,927660.6176,305849.7056
1535932800,2018-09-03,XRP/USD,0.3356,0.3374,0.33,0.3327,746949.6927,248510.1628
1535846400,2018-09-02,XRP/USD,0.3417,0.3463,0.333,0.3355,931155.9922,312402.8354
1535760000,2018-09-01,XRP/USD,0.3319,0.348,0.3306,0.3413,1136695.815,387954.2815
1535673600,2018-08-31,XRP/USD,0.3345,0.3375,0.3237,0.331,900673.9538,298123.0787
1535587200,2018-08-30,XRP/USD,0.3445,0.3445,0.3201,0.335,1325200.011,443942.0038
1535500800,2018-08-29,XRP/USD,0.3481,0.353,0.338,0.3429,1136975.118,389868.7678
1535414400,2018-08-28,XRP/USD,0.3365,0.3526,0.3339,0.3482,1597004.461,556076.9532
1535328000,2018-08-27,XRP/USD,0.3246,0.3379,0.3228,0.3365,606670.4721,204144.6139
1535241600,2018-08-26,XRP/USD,0.3256,0.3278,0.32,0.3227,381044.2461,122962.9782
1535155200,2018-08-25,XRP/USD,0.3265,0.3295,0.3226,0.3277,429227.2219,140657.7606
1535068800,2018-08-24,XRP/USD,0.327,0.3295,0.3175,0.3269,577577.7377,188810.1624
1534982400,2018-08-23,XRP/USD,0.3211,0.3298,0.317,0.3254,575107.8675,187140.1001
1534896000,2018-08-22,XRP/USD,0.3344,0.35,0.3102,0.319,1972547.226,629242.565
1534809600,2018-08-21,XRP/USD,0.3181,0.3423,0.3161,0.335,944756.021,316493.267
1534723200,2018-08-20,XRP/USD,0.3446,0.3524,0.318,0.3181,1765304.677,561543.4178
1534636800,2018-08-19,XRP/USD,0.3275,0.3541,0.3194,0.3435,1514412.789,520200.793
1534550400,2018-08-18,XRP/USD,0.3665,0.3777,0.3101,0.3236,2350285.99,760552.5465
1534464000,2018-08-17,XRP/USD,0.2926,0.4,0.2924,0.3662,3370388.385,1234236.227
1534377600,2018-08-16,XRP/USD,0.2822,0.3021,0.2778,0.2935,1652452.125,484994.6988
