unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1523145600,2018-04-08,BTC/USD,6889.5,7079.7,6869.5,6988.1,436.8384253,3052670.6
1523059200,2018-04-07,BTC/USD,6644.1,7060,6644.1,6884.2,740.0160415,5094418.433
1522972800,2018-04-06,BTC/USD,6830.3,6922.5,6539,6644.1,705.6761466,4688582.886
1522886400,2018-04-05,BTC/USD,6881.8,7000,6677,6829.9,1119.839661,7648392.903
1522800000,2018-04-04,BTC/USD,7475.3,7501.3,6801,6894.3,1424.600551,9821623.576
1522713600,2018-04-03,BTC/USD,7110,7659.7,7080.5,7488.8,1099.905269,8236970.581
1522627200,2018-04-02,BTC/USD,6910,7238.7,6852.9,7109.4,918.2282372,6528051.83
1522540800,2018-04-01,BTC/USD,7000.8,7117.1,6538.4,6910.5,1230.000144,8499915.993
1522454400,2018-03-31,BTC/USD,6969.9,7300,6900.1,6997.4,959.4971874,6713985.619
1522368000,2018-03-30,BTC/USD,7250.8,7458,6700,6974,2153.426353,15017995.38
1522281600,2018-03-29,BTC/USD,8097.2,8124,7101.2,7222,1595.700713,11524150.55
1522195200,2018-03-28,BTC/USD,7992.9,8250,7936,8111.5,632.4638075,5130230.175
1522108800,2018-03-27,BTC/USD,8308.9,8389.7,7935,7978.9,1111.232372,8866411.974
1522022400,2018-03-26,BTC/USD,8545,8626.5,7986.8,8307.7,1291.102796,10726094.7
1521936000,2018-03-25,BTC/USD,8677.1,8824.6,8500,8545,845.4714378,7224553.436
1521849600,2018-03-24,BTC/USD,8988.4,9075.3,8650,8678.9,925.8272921,8035162.485
1521763200,2018-03-23,BTC/USD,8820.5,8995,8310.3,8977,1075.613309,9655780.674
1521676800,2018-03-22,BTC/USD,9038,9195.8,8600,8815.1,1048.011461,9238325.828
1521590400,2018-03-21,BTC/USD,9013.9,9304.5,8795.2,9072.9,1300.658444,11800744
1521504000,2018-03-20,BTC/USD,8696,9194,8440,9028.4,1215.974749,10978306.43
1521417600,2018-03-19,BTC/USD,8329.5,8881.2,8251.6,8700.5,2108.139444,18341867.24
1521331200,2018-03-18,BTC/USD,8050,8399.7,7469.1,8356.1,2517.637702,21037632.4
1521244800,2018-03-17,BTC/USD,8411.8,8505.1,7907.5,8052.8,1331.604757,10723146.79
1521158400,2018-03-16,BTC/USD,8456,8740,8120.1,8400,1217.74634,10229069.25
1521072000,2018-03-15,BTC/USD,8364.6,8599.9,7880.1,8455.2,2279.820406,19276337.5
1520985600,2018-03-14,BTC/USD,9349.4,9576.8,8042.3,8387.2,2035.964198,17076038.92
1520899200,2018-03-13,BTC/USD,9332.4,9718.2,9069,9334,1720.134395,16055734.44
1520812800,2018-03-12,BTC/USD,9790,10148.4,9011,9329.8,2553.752329,23825998.48
1520726400,2018-03-11,BTC/USD,9036.9,9953.4,8730.2,9790,2369.620768,23198587.32
1520640000,2018-03-10,BTC/USD,9530,9845.7,8950,9069.1,1581.141785,14339532.96
1520553600,2018-03-09,BTC/USD,9623.5,9727.7,8646.9,9546.8,3383.10778,32297853.35
1520467200,2018-03-08,BTC/USD,10265,10414.3,9400.1,9627.3,1799.883119,17328014.75
1520380800,2018-03-07,BTC/USD,10923.9,11094.1,9653.1,10265,1876.489934,19262169.17
1520294400,2018-03-06,BTC/USD,11505.1,11573.4,10800,10923.9,1535.617125,16774927.92
1520208000,2018-03-05,BTC/USD,11647.2,11750,11501.3,11505,920.5136373,10590509.4
1520121600,2018-03-04,BTC/USD,11612.3,11677.6,11250.1,11630.4,903.3028468,10505773.43
1520035200,2018-03-03,BTC/USD,11219.5,11703.4,11219.1,11609.7,1157.111647,13433719.09
1519948800,2018-03-02,BTC/USD,11052.7,11300,10938.9,11236.7,1296.550921,14568953.74
1519862400,2018-03-01,BTC/USD,10542.6,11178.3,10452.8,11052.7,1100.818819,12167020.16
1519776000,2018-02-28,BTC/USD,10700.4,11284.5,10493.3,10541,1469.775128,15492899.62
1519689600,2018-02-27,BTC/USD,10462.2,11088.1,10351,10700.4,1291.038347,13814626.72
1519603200,2018-02-26,BTC/USD,9792,10615,9567.5,10455.5,1779.947229,18610238.25
1519516800,2018-02-25,BTC/USD,9857.8,10100,9521.1,9769.3,1162.377341,11355612.96
1519430400,2018-02-24,BTC/USD,10300.2,10680,9555,9887.8,1706.005384,16868640.04
1519344000,2018-02-23,BTC/USD,10049.7,10550,9827,10300.2,1989.500588,20492253.96
1519257600,2018-02-22,BTC/USD,10679.8,11124.5,9850.3,10055,2329.061741,23418715.81
1519171200,2018-02-21,BTC/USD,11511.7,11628,10405,10674.5,2849.097235,30412688.44
1519084800,2018-02-20,BTC/USD,11379.2,12021.3,11350,11509.9,2316.012694,26657074.5
1518998400,2018-02-19,BTC/USD,10678.4,11431.3,10600,11376,1930.880963,21965701.84
1518912000,2018-02-18,BTC/USD,11286.7,11536.8,10387,10691.2,2275.792859,24330956.61
1518825600,2018-02-17,BTC/USD,10348.9,11395.4,10216.6,11286.1,1967.16905,22201666.61
1518739200,2018-02-16,BTC/USD,10235,10500,9940.3,10351.9,1809.404232,18730771.67
1518652800,2018-02-15,BTC/USD,9673.6,10398.7,9522.4,10234,2745.737089,28099873.37
1518566400,2018-02-14,BTC/USD,8774.9,9699.8,8772.4,9679.1,1987.943596,19241504.86
1518480000,2018-02-13,BTC/USD,9000,9050,8575.2,8778.2,1608.159628,14116746.85
1518393600,2018-02-12,BTC/USD,8261.2,9079.9,8241.2,9000,2031.777176,18285994.59
1518307200,2018-02-11,BTC/USD,8692.8,8696.1,8058.4,8252,2038.360069,16820547.29
1518220800,2018-02-10,BTC/USD,8783.1,9199.7,8315,8692.8,2550.825181,22173813.14
1518134400,2018-02-09,BTC/USD,8505.2,8868.6,8065.9,8789.1,2579.57641,22672155.02
1518048000,2018-02-08,BTC/USD,7869.2,8900,7813.9,8494.3,3318.151345,28185372.97
1517961600,2018-02-07,BTC/USD,7966.9,8910.4,7505.1,7873.2,3969.966265,31256338.4
1517875200,2018-02-06,BTC/USD,7065.9,8400,6115,7967.1,6719.973547,53538701.25
1517788800,2018-02-05,BTC/USD,8647.2,8799,6700,7065.9,4738.209831,33479716.85
1517702400,2018-02-04,BTC/USD,9561,9800,8300,8656.1,2469.169956,21373382.05
1517616000,2018-02-03,BTC/USD,9146.2,9858.2,8500.1,9528.3,1999.147041,19048472.75
1517529600,2018-02-02,BTC/USD,9351.3,9600,7500,9162.2,4614.460602,42278610.93
1517443200,2018-02-01,BTC/USD,10714.9,10733,8368.8,9318,3079.095488,28691011.76
1517356800,2018-01-31,BTC/USD,10652.2,10902.5,10258.72,10715,1495.296491,16022101.9
1517270400,2018-01-30,BTC/USD,11771.8,11821.7,10501,10715.9,2074.064911,22225472.18
1517184000,2018-01-29,BTC/USD,12115.4,12200,11570,11774.3,1066.945275,12562533.75
1517097600,2018-01-28,BTC/USD,11877.9,12299.9,11750,12105.2,999.8734838,12103668.5
1517011200,2018-01-27,BTC/USD,11730.3,12099,11500,11857.9,1254.686409,14877945.96
1516924800,2018-01-26,BTC/USD,11712.7,12188,10955,11721.1,1719.182519,20150710.22
1516838400,2018-01-25,BTC/USD,12088,12348,11608.3,11709.9,1308.856414,15326577.73
1516752000,2018-01-24,BTC/USD,11590.6,12150,11250,12100,1633.453196,19764783.67
1516665600,2018-01-23,BTC/USD,11585.77,12130.6,10658.9,11581.9,1811.191438,20977038.11
1516579200,2018-01-22,BTC/USD,12330.89,12800,10830.62,11608.9,1812.326763,21039120.16
1516492800,2018-01-21,BTC/USD,13560.48,13590.17,11963.65,12315.18,1652.571086,20351710.38
1516406400,2018-01-20,BTC/USD,12240.94,13780.5,12238.96,13591.71,1371.281474,18638060.13
1516320000,2018-01-19,BTC/USD,11965.96,12700,11621.91,12251.88,1421.062305,17410684.84
1516233600,2018-01-18,BTC/USD,11809.08,12740,11400,11965.63,3012.516234,36046654.63
1516147200,2018-01-17,BTC/USD,12001.62,12490,9653.73,11835.23,5010.641212,59302091.19
1516060800,2018-01-16,BTC/USD,14715.12,14737.31,10010,11975.04,5541.608303,66360981.09
1515974400,2018-01-15,BTC/USD,14845.53,15262.55,14602.19,14734.7,941.0090048,13865485.38
1515888000,2018-01-14,BTC/USD,15360,15525.45,14527.79,14855.9,851.8152972,12654482.87
1515801600,2018-01-13,BTC/USD,15110.67,15679.85,15058.91,15360,876.4635255,13462479.75
1515715200,2018-01-12,BTC/USD,14560,15499,14255,15143.09,1091.540356,16529293.84
1515628800,2018-01-11,BTC/USD,16269.08,16300,14255.01,14554.52,2367.070741,34451578.44
1515542400,2018-01-10,BTC/USD,15970.3,16276.45,14200,16269.09,1871.542849,30448299.06
1515456000,2018-01-09,BTC/USD,16734.1,17130,15715.14,15999.41,1488.561079,23816099.01
1515369600,2018-01-08,BTC/USD,17691.74,17857.66,15775.66,16663.65,1983.962102,33060050.08
1515283200,2018-01-07,BTC/USD,18300,18364.99,17350.04,17692.08,1151.251934,20368041.31
1515196800,2018-01-06,BTC/USD,18187.9,18379.96,17510.02,18324.85,1294.681436,23724843.11
1515110400,2018-01-05,BTC/USD,16249.34,18380,16059.84,18187.9,2197.460544,39967192.64
1515024000,2018-01-04,BTC/USD,16033.11,16300,15500,16250,1660.808227,26988133.69
1514937600,2018-01-03,BTC/USD,16048,16560.98,15400,16041,1737.426698,27870061.67
1514851200,2018-01-02,BTC/USD,15218.47,16700,14673.96,16010,1935.466225,30986814.25
1514764800,2018-01-01,BTC/USD,15475.02,15599.02,14551.34,15222.02,1356.120959,20642900.37
1514678400,2017-12-31,BTC/USD,14000.3,15878.39,13767.16,15473.67,2072.091767,32062864.21
1514592000,2017-12-30,BTC/USD,15139.68,15245,13500,14040.12,2856.266781,40102328.36
1514505600,2017-12-29,BTC/USD,15878.03,16300,14605,15176.34,1937.765964,29408195.11
1514419200,2017-12-28,BTC/USD,17094.43,17161.65,15500,15899.85,2341.270849,37225855.3
1514332800,2017-12-27,BTC/USD,17297.7,17750,16300,17145.61,2112.257973,36215951.42
1514246400,2017-12-26,BTC/USD,15806.27,17760,15665.06,17279.86,2731.001908,47191330.62
1514160000,2017-12-25,BTC/USD,16094.35,16200,15120.01,15756,2122.078789,33435473.4
1514073600,2017-12-24,BTC/USD,16864.19,16881.63,14124.01,16004.73,3814.716605,61053509.29
1513987200,2017-12-23,BTC/USD,15298.29,17900,15051.3,16771.94,3272.335825,54883420.11
1513900800,2017-12-22,BTC/USD,17445.12,17587.99,12550,15299.24,8253.770617,126276417.6
1513814400,2017-12-21,BTC/USD,18299,18800,16381.33,17474.33,2869.848993,50148688.35
1513728000,2017-12-20,BTC/USD,19540,19790.7,17000,18291.34,3773.474977,69021913.78
1513641600,2017-12-19,BTC/USD,20568.99,20775,18506,19538.32,2257.200969,44101914.84
1513555200,2017-12-18,BTC/USD,20649.97,20957.69,19764.01,20568.98,1540.592168,31688409.5
1513468800,2017-12-17,BTC/USD,20674.93,21283.69,20130,20649.97,1778.753755,36731211.68
1513382400,2017-12-16,BTC/USD,18689.22,20887.67,18543.94,20655.03,1676.470414,34627546.7
1513296000,2017-12-15,BTC/USD,17200.31,18999,17156.85,18688.08,2047.512681,38264080.78
1513209600,2017-12-14,BTC/USD,17195.2,17650,16958.02,17222.4,1497.736968,25794625.17
1513123200,2017-12-13,BTC/USD,17555.52,17780,16586.1,17195.2,1998.94324,34372228.79
1513036800,2017-12-12,BTC/USD,17259.41,17920,17050.01,17550,2149.735365,37727855.65
1512950400,2017-12-11,BTC/USD,15956.48,17989,15925.04,17252.28,2927.275639,50502178.95
1512864000,2017-12-10,BTC/USD,15687,16899,14011.99,15956.7,4659.887377,74356424.91
1512777600,2017-12-09,BTC/USD,16876.62,17065.01,13040.35,15687,3888.226407,60994607.65
1512691200,2017-12-08,BTC/USD,17483.69,18266.12,14100,16900.98,4971.857432,84029263.02
1512604800,2017-12-07,BTC/USD,14855.12,17500,14441.41,17483.89,5199.173658,90901780.33
1512518400,2017-12-06,BTC/USD,12343.2,14855.11,12342.8,14855.08,2808.203544,41716088.31
1512432000,2017-12-05,BTC/USD,12145.81,12399,12048.28,12343.2,1374.106067,16960866.01
1512345600,2017-12-04,BTC/USD,11872.12,12150,11610,12149,2285.420649,27765575.47
1512259200,2017-12-03,BTC/USD,11428.59,12259.81,11114.97,11870.76,3065.579159,36390754.45
1512172800,2017-12-02,BTC/USD,11310.51,11687,11099.77,11420.3,2094.76615,23922857.86
1512086400,2017-12-01,BTC/USD,10318.94,11410.99,9910,11293.64,3000.380763,33885220.2
